,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
0,57566673,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-24,,45.0
1,57566674,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-24,,45.0
2,57566675,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-23,,45.0
3,57566676,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-23,,45.0
4,57566677,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-19,,45.0
5,57566678,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-16,,45.0
6,57566679,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-16,,45.0
7,57566680,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-15,,45.0
8,57566681,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-11,,45.0
9,57566682,IS,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*32,CW0,GGP21,AVEJRRC5DAAA,MITSUBISHI,Mitsubishi Outlander,M1,M1,1,1965,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,169.0,,,,,,P,2021,2021-03-10,,45.0
